screen_name,text,retweet_count
lunaticpriv,RT @NatiAsfaw25: Wii sports bowling be like 😂😂 https://t.co/qiMGiqXbwJ,236403
lovslyanne,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173143
realcoonyewest,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173142
LaureNickie,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173141
AuroraCleopatra,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173140
daenekat,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173139
KirsteinPascoe,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173138
syahsirhan1,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173137
Brianamegan_,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173136
HELD3R_,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173135
jouleepeirre,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173134
TippinDine210,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173133
__laurentaylorr,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173132
jack_ie323,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173127
TMckenzie82,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173126
wedidstop,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173122
Ednkotl,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173121
juliannamsl,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173120
xklcleigh,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173120
cybellerosa11,RT @RidiculousDak: Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173119
