name,Retweet_text,Retweet_count
L,Wii sports bowling be like 😂😂 https://t.co/qiMGiqXbwJ,236403
seeel,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173143
ANGIE.,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173142
Can you believe ?,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173141
Ma'kena,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173140
🄽🄴🅁🄳🅈,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173139
Kirstein,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173138
💓,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173137
Bri♡,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173136
NEPT🔱,Corals aren't plants they're animals. Imagine carving your name on cats/dogs... https://t.co/g0jAL2JvJC,173135
